ID,mode,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,ld_PC1,ld_PC2,ld_PC3,ld_PC4,ld_PC5,ld_PC6,ld_PC7,ld_PC8,ld_PC9,ld_PC10,ID_down,species_down,mode_down,down_PC1,down_PC2,down_PC3,down_PC4,down_PC5,down_PC6,down_PC7,down_PC8,down_PC9,down_PC10,downLD_PC1,downLD_PC2,downLD_PC3,downLD_PC4,downLD_PC5,downLD_PC6,downLD_PC7,downLD_PC8,downLD_PC9,downLD_PC10,,,,,,,,,,,,
CZA020_Ls,1,2,0.0498976,-0.0138598,0.0632308,-0.00377911,0.0440465,-0.0286006,0.0371387,-0.0840356,-0.0298912,0.0152506,0.0450066,-0.0192083,0.0705231,-0.0047464,0.0448255,0.00373085,-0.00560891,0.00333808,0.000667659,-0.0856092,CZD309_Ls,2,1,0.0717943,0.0470589,0.00943897,-0.0850228,0.0335228,-0.00281381,0.0369066,0.0901436,0.00741385,-0.228772,0.0691375,0.0463651,0.0337634,0.0889417,0.0290471,-0.0115231,-0.0199189,-0.0170574,0.0041199,0.0165614,,,,,,,,,,,,
CZA506_Ls,1,2,0.0508943,-0.0137557,0.0571789,-0.0030902,0.0493834,-0.0355552,0.0372477,-0.0835721,-0.0337257,0.0178075,0.0453598,-0.0191472,0.0626547,-0.00493156,0.0526171,-0.000544403,-0.0140749,0.00209947,0.00208682,-0.0884389,CZD390_Ls,2,1,0.0776368,0.0490527,0.0168703,-0.0900115,0.0320803,-0.0165076,0.0357065,0.0890212,0.00985135,-0.233981,0.0737653,0.047923,0.0387425,0.0908161,0.0295585,-0.0186093,-0.0147684,-0.0185306,0.00569182,0.0176796,,,,,,,,,,,,
CZA524_Ls,1,2,0.0501461,-0.014342,0.0711483,-0.00636448,0.0473419,-0.042266,0.0269617,-0.0902921,-0.0224519,0.021402,0.0435217,-0.0196576,0.0786049,-0.00959464,0.0482161,-0.00877231,-0.0188465,0.00134568,-0.000261824,-0.0911741,CZD563_Ls,2,1,0.0756825,0.0518298,0.0229664,-0.087931,0.0301261,-0.0233634,0.023902,0.0642135,0.00866514,-0.256605,0.0727096,0.0495767,0.0436637,0.0897279,0.0292436,-0.0221635,-0.0119068,-0.0219127,-0.0120737,0.0278057,,,,,,,,,,,,
CZD309_Ls,1,2,0.0498966,-0.0132594,0.0633453,-0.00348162,0.0446491,-0.0301365,0.0365671,-0.0818926,-0.028443,0.0146524,0.0445794,-0.0182488,0.0694786,-0.00428408,0.0456579,0.00329876,-0.00851232,0.00325808,0.000645415,-0.0831034,CZD565_Ls,2,1,0.069559,0.0527472,0.0194136,-0.0913964,0.0276989,-0.011658,0.0197452,0.0538994,0.00538636,-0.252093,0.0677194,0.050581,0.0429261,0.0917548,0.0251556,-0.0179145,-0.0164121,-0.0204018,-0.0199289,0.0314296,,,,,,,,,,,,
CZD390_Ls,1,2,0.0501527,-0.013361,0.0680101,-0.00497601,0.0460139,-0.0351564,0.0354558,-0.0846241,-0.0296843,0.0192787,0.0446562,-0.0184405,0.0754106,-0.00653939,0.0472928,0.000698671,-0.0151187,0.00298709,0.00157227,-0.0888443,DER_Lten_F,2,1,0.0865292,0.0118661,-0.0119841,0.0547639,-0.0674827,-0.197761,0.113582,0.324639,0.151425,0.292902,0.0882994,0.0205501,-0.033696,-0.0286433,-0.037228,-0.061006,0.12322,0.0836567,0.490176,0.434183,,,,,,,,,,,,
CZD563_Ls,1,2,0.0508765,-0.0136942,0.0669529,-0.00569782,0.0476164,-0.0404615,0.0310844,-0.0854665,-0.0302043,0.0216391,0.0443403,-0.0191613,0.0736165,-0.00859847,0.0496064,-0.00591353,-0.0196023,0.00119119,0.00192888,-0.0878168,DER_Lten_M,2,1,0.086397,0.0114504,-0.0127176,0.0549366,-0.0670144,-0.196355,0.113584,0.324696,0.149788,0.286319,0.0879512,0.0198956,-0.0342264,-0.0282654,-0.0358505,-0.0609528,0.121965,0.0835223,0.49084,0.432748,,,,,,,,,,,,
CZD565_Ls,1,2,0.0509645,-0.0141581,0.0619047,-0.00473392,0.0484734,-0.0395337,0.0328232,-0.0869687,-0.025873,0.0194316,0.0443824,-0.0194305,0.0675043,-0.00739678,0.0505337,-0.00467976,-0.016354,0.00154402,0.000483121,-0.0908731,IMI_6_2,2,1,0.0775407,0.0714153,0.0557273,-0.101748,0.0507473,0.0221429,-0.0559179,-0.0920283,-0.0143307,0.109085,0.0709505,0.0603293,0.0727391,0.0799612,0.037772,-0.00902742,-0.00565407,-0.0392854,-0.0661191,0.0145873,,,,,,,,,,,,
DER_Lten_F,1,2,0.0435135,-0.00679178,0.084838,0.000244059,0.023148,0.0306783,-0.0382441,0.0186402,0.0280968,0.0213585,0.0371115,-0.011902,0.0851244,-0.00511537,0.0133636,-0.00560518,0.0130858,-0.00199662,-0.00220979,0.0564796,LR_11_Ls,2,1,0.0447956,-0.0532855,-0.011743,0.0152392,0.00258814,0.0138702,0.0549368,0.0493008,-0.0474639,0.011473,0.0498103,-0.061979,-0.0180291,-0.00459161,0.00294251,-0.0121807,-0.0362962,0.0128168,0.0471117,-0.10497,,,,,,,,,,,,
DER_Lten_M,1,2,0.0431913,-0.00712485,0.0843896,0.000255604,0.0224232,0.031058,-0.0380086,0.018334,0.026736,0.0216517,0.0366517,-0.0120188,0.084892,-0.00477381,0.0128902,-0.00535164,0.0136351,-0.00223118,-0.00239979,0.0566083,LR_14_Ls,2,1,0.041156,-0.0565352,-0.0200716,0.0187024,0.00754256,0.0224082,0.0527203,0.0510779,-0.0475515,0.0123079,0.0467619,-0.0632572,-0.0233862,-0.00419917,0.00468374,-0.00580284,-0.0378293,0.0111993,0.0462287,-0.100641,,,,,,,,,,,,
LR_11_Ls,1,2,0.0418083,-0.00807084,0.0458881,0.00635825,-0.0605096,0.0196775,0.00221652,0.00631351,-0.000671534,0.0245422,0.0361132,-0.012623,0.0431109,0.00327142,-0.051498,0.00470737,0.0127218,0.000792555,-0.00124384,0.0175067,NE_E2_439_Ls,2,1,0.0598518,0.0683678,0.0441134,-0.096351,0.0650598,0.0582869,-0.0472714,-0.0955149,-0.0375648,0.0901501,0.0561003,0.0578539,0.0640742,0.076154,0.0447091,0.00188518,-0.0275386,-0.0415653,-0.0755597,0.0166154,,,,,,,,,,,,
NE_E2_030_Lsax_F,1,2,0.048198,-0.0134509,0.0667372,-0.00914861,0.0571926,-0.0602756,0.0191525,-0.0638015,-0.0316709,0.00625536,0.0424118,-0.0187245,0.076755,-0.0138083,0.0663416,-0.0162134,-0.0436458,-0.000709885,0.00467822,-0.078651,NE_F1_087_Lsb,2,1,0.0562646,-0.00580492,-0.0489331,0.200152,-0.11219,-0.449885,0.0173256,-0.24079,-0.191421,-0.0972023,0.0605238,0.00100321,-0.136159,-0.255285,-0.101991,-0.503152,0.230399,-0.0475673,-0.174766,-0.0482953,,,,,,,,,,,,
NE_E2_159_Ls,1,2,0.0511385,-0.0136419,0.0492412,-0.00670898,0.0539372,-0.0552825,0.0372302,-0.0662597,-0.0414535,0.00149503,0.0466967,-0.0194838,0.05534,-0.00889456,0.0632928,-0.00354442,-0.036735,0.00335926,0.00537243,-0.0901493,NE_F1_333_Ls,2,1,-0.0114671,-0.0073831,-0.115576,0.121583,0.085936,0.148729,0.21043,-0.00390417,-0.425526,0.0260759,-0.00919423,0.000149757,-0.180863,-0.157593,0.102828,-0.0761354,-0.467002,-0.0853765,0.00864468,0.0673154,,,,,,,,,,,,
NE_E2_439_Ls,1,2,0.0518697,-0.0140624,0.0496971,-0.00623465,0.0544483,-0.0597856,0.0407096,-0.0679144,-0.0421043,0.00421279,0.0474522,-0.0197417,0.0572484,-0.00838504,0.0645967,-0.00242578,-0.0426302,0.00407157,0.00616681,-0.096373,NE_W1_331_Lsax_F,2,1,0.0692888,0.0198199,-0.0440824,0.193956,-0.09433,-0.0586228,-0.133031,-0.13184,0.142568,-0.050346,0.0704407,0.0282503,-0.0811843,-0.137807,-0.0616593,0.110598,0.149743,0.0324104,-0.0920473,0.0314001,,,,,,,,,,,,
NE_F1_134_Ls,1,2,0.0323514,-0.00340643,0.0134889,0.0197282,0.00695514,0.140846,-0.0235728,0.174131,-0.0329505,0.24022,0.029023,-0.00768155,0.011808,0.0148506,-8.04E-05,0.0217039,0.0645186,0.00390269,0.00433292,0.12075,NOR_Lsax_F_1,2,1,0.0625129,0.0135205,0.00460749,-0.0377168,-0.0265216,-0.029605,0.0409996,0.0479093,0.00290948,0.0193701,0.0641215,0.0166245,0.0145494,0.0479052,-0.0173282,-0.034654,-0.00603101,0.026957,0.0352688,-0.0652015,,,,,,,,,,,,
