row,differ
Lsa_00029445,none
Lsa_00037874,none
Lsa_00037874,none
Lsa_00037872,none
Lsa_00037873,none
Lsa_00025753,none
Lsa_00025753,none
Lsa_00025753,none
Lsa_00025750,none
Lsa_00028676,none
Lsa_00028676,none
Lsa_00028676,none
Lsa_00028676,none
Lsa_00028676,none
Lsa_00028676,none
Lsa_00028676,none
Lsa_00030066,none
Lsa_00030066,none
Lsa_00030066,none
Lsa_00030066,none
Lsa_00030066,none
Lsa_00030060,none
Lsa_00029992,repr
Lsa_00029992,repr
Lsa_00034528,none
Lsa_00034528,none
Lsa_00034528,none
Lsa_00044628,none
Lsa_00019374,repr
Lsa_00043453,none
Lsa_00012836,none
Lsa_00012836,none
Lsa_00023343,none
Lsa_00023343,none
Lsa_00023343,none
Lsa_00023343,none
Lsa_00023343,none
Lsa_00023343,none
Lsa_00023343,none
Lsa_00023342,none
Lsa_00023341,none
Lsa_00023341,none
Lsa_00023341,none
Lsa_00023346,none
Lsa_00023346,none
Lsa_00023345,none
Lsa_00023345,none
Lsa_00023345,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021855,none
Lsa_00021856,none
Lsa_00021859,none
Lsa_00034699,none
Lsa_00034698,none
Lsa_00019462,none
Lsa_00019462,none
Lsa_00034693,none
Lsa_00034693,none
Lsa_00034693,none
Lsa_00048218,none
Lsa_00048218,none
Lsa_00043376,none
Lsa_00034030,none
Lsa_00034030,none
Lsa_00034030,none
Lsa_00034030,none
Lsa_00034030,none
Lsa_00034030,none
Lsa_00034030,none
Lsa_00052828,none
Lsa_00033829,none
Lsa_00033829,none
Lsa_00034034,none
Lsa_00032034,none
Lsa_00020060,none
Lsa_00020060,none
Lsa_00020060,none
Lsa_00020060,none
Lsa_00020060,none
Lsa_00020060,none
Lsa_00020060,none
Lsa_00020064,none
Lsa_00020064,none
Lsa_00058391,none
Lsa_00030434,none
Lsa_00030434,none
Lsa_00030434,none
Lsa_00030434,none
Lsa_00042152,none
Lsa_00042152,none
Lsa_00042152,none
Lsa_00057700,none
Lsa_00058974,none
Lsa_00053010,none
Lsa_00053018,none
Lsa_00056250,none
Lsa_00027513,none
Lsa_00027513,none
Lsa_00027513,none
Lsa_00051703,none
Lsa_00051701,none
Lsa_00007315,none
Lsa_00020938,none
Lsa_00024359,none
Lsa_00024359,none
Lsa_00024359,none
Lsa_00024359,none
Lsa_00021082,none
Lsa_00021080,none
Lsa_00043684,none
Lsa_00043688,none
Lsa_00043689,none
Lsa_00043354,none
Lsa_00011232,none
Lsa_00011232,none
Lsa_00011232,none
Lsa_00011232,none
Lsa_00026195,none
Lsa_00026194,none
Lsa_00026196,none
Lsa_00026196,none
Lsa_00026196,none
Lsa_00026191,none
Lsa_00026191,none
Lsa_00026191,none
Lsa_00026190,none
Lsa_00026193,none
Lsa_00026193,none
Lsa_00026192,none
Lsa_00026192,none
Lsa_00026192,none
Lsa_00026504,none
Lsa_00026504,none
Lsa_00026504,none
Lsa_00026504,none
Lsa_00026504,none
Lsa_00026504,none
Lsa_00026504,none
Lsa_00026504,none
Lsa_00026441,none
Lsa_00026446,none
Lsa_00026445,none
Lsa_00026445,none
Lsa_00026449,none
Lsa_00026449,none
Lsa_00026449,none
Lsa_00022573,none
Lsa_00010544,none
Lsa_00010544,none
Lsa_00010544,none
Lsa_00010543,none
Lsa_00060661,none
Lsa_00024351,none
Lsa_00024351,none
Lsa_00024351,none
Lsa_00027519,none
Lsa_00027519,none
Lsa_00027519,none
Lsa_00024209,none
Lsa_00024209,none
Lsa_00027716,none
Lsa_00027716,none
Lsa_00027716,none
Lsa_00027716,none
Lsa_00023627,none
Lsa_00013169,none
Lsa_00013167,none
Lsa_00013167,none
Lsa_00053839,none
Lsa_00053832,none
Lsa_00045570,none
Lsa_00045352,none
Lsa_00004498,none
Lsa_00004499,none
Lsa_00004494,none
Lsa_00004494,none
Lsa_00004494,none
Lsa_00017115,none
Lsa_00017115,none
Lsa_00004496,none
Lsa_00004497,none
Lsa_00004490,none
Lsa_00004490,none
Lsa_00010320,none
Lsa_00038052,none
Lsa_00038054,none
Lsa_00058249,none
Lsa_00002893,none
Lsa_00002891,none
Lsa_00002897,none
Lsa_00002894,none
Lsa_00004722,none
Lsa_00004722,none
Lsa_00004722,none
Lsa_00004722,none
Lsa_00004722,none
Lsa_00004722,none
Lsa_00004722,none
Lsa_00004722,none
Lsa_00004720,none
Lsa_00004720,none
Lsa_00004720,none
Lsa_00009670,repr
Lsa_00018015,none
Lsa_00017099,repr
Lsa_00017094,none
Lsa_00017094,none
Lsa_00017094,none
Lsa_00017094,none
Lsa_00017094,none
Lsa_00017095,none
Lsa_00017095,none
Lsa_00017095,none
Lsa_00017095,none
Lsa_00017093,none
Lsa_00017093,none
Lsa_00002760,none
Lsa_00002760,none
Lsa_00002760,none
Lsa_00002760,none
Lsa_00002760,none
Lsa_00002764,none
Lsa_00002764,none
Lsa_00002765,none
Lsa_00002766,none
Lsa_00002766,none
Lsa_00047842,none
Lsa_00004972,repr
Lsa_00004972,repr
Lsa_00004972,repr
Lsa_00036860,none
Lsa_00036860,none
Lsa_00014673,none
Lsa_00014675,none
Lsa_00014674,none
Lsa_00036861,none
Lsa_00036861,none
Lsa_00017329,none
Lsa_00017329,none
Lsa_00017329,none
Lsa_00017329,none
Lsa_00017329,none
Lsa_00017329,none
Lsa_00017326,none
Lsa_00012787,none
Lsa_00012787,none
Lsa_00012787,none
Lsa_00012787,none
Lsa_00012787,none
Lsa_00012787,none
Lsa_00012786,none
Lsa_00012784,none
Lsa_00012781,none
Lsa_00012788,none
Lsa_00012788,none
Lsa_00012788,none
Lsa_00057270,none
Lsa_00041953,none
Lsa_00041950,none
Lsa_00041951,repr
Lsa_00041951,repr
Lsa_00041951,repr
Lsa_00041951,repr
Lsa_00041951,repr
Lsa_00041951,repr
Lsa_00039827,none
Lsa_00015789,none
Lsa_00015789,none
Lsa_00015789,none
Lsa_00015786,none
Lsa_00015786,none
Lsa_00015787,none
Lsa_00015787,none
Lsa_00015787,none
Lsa_00015787,none
Lsa_00033564,none
Lsa_00015250,none
Lsa_00015250,none
Lsa_00015251,none
Lsa_00015252,none
Lsa_00015252,none
Lsa_00015252,none
Lsa_00015252,none
Lsa_00015252,none
Lsa_00015253,none
Lsa_00015255,none
Lsa_00015255,none
Lsa_00015256,none
Lsa_00015256,none
Lsa_00015256,none
Lsa_00003381,none
Lsa_00003381,none
Lsa_00003381,none
Lsa_00003382,repr
Lsa_00003382,repr
Lsa_00003388,none
Lsa_00003388,none
Lsa_00003388,none
Lsa_00054704,none
Lsa_00007606,none
Lsa_00013959,repr
Lsa_00013950,none
Lsa_00013950,none
Lsa_00013953,none
Lsa_00013953,none
Lsa_00013953,none
Lsa_00013955,none
Lsa_00013954,none
Lsa_00013954,none
Lsa_00013954,none
Lsa_00013957,repr
Lsa_00035034,none
Lsa_00035032,none
Lsa_00035033,none
Lsa_00027334,none
Lsa_00031902,none
Lsa_00031902,none
Lsa_00031902,none
Lsa_00031902,none
Lsa_00038880,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00008002,none
Lsa_00001527,none
Lsa_00001525,none
Lsa_00001525,none
Lsa_00001525,none
Lsa_00001525,none
Lsa_00001529,none
Lsa_00001529,none
Lsa_00040185,none
Lsa_00040185,none
Lsa_00040673,none
Lsa_00013749,none
Lsa_00046928,none
Lsa_00037688,none
Lsa_00037687,none
Lsa_00028635,none
Lsa_00028635,none
Lsa_00028635,none
Lsa_00039596,none
Lsa_00034349,none
Lsa_00034349,none
Lsa_00034349,none
Lsa_00034349,none
Lsa_00034349,none
Lsa_00034349,none
Lsa_00037534,none
Lsa_00037534,none
Lsa_00037534,none
Lsa_00037536,none
Lsa_00037536,none
Lsa_00037536,none
Lsa_00037536,none
Lsa_00037536,none
Lsa_00037536,none
Lsa_00031273,none
Lsa_00031273,none
Lsa_00009068,none
Lsa_00009068,none
Lsa_00009066,none
Lsa_00007652,none
Lsa_00007652,none
Lsa_00033691,none
Lsa_00033691,none
Lsa_00038310,none
Lsa_00038312,none
Lsa_00038312,none
Lsa_00038312,none
Lsa_00024631,none
Lsa_00024635,none
Lsa_00024635,none
Lsa_00046939,both
Lsa_00035595,none
Lsa_00035595,none
Lsa_00035594,none
Lsa_00035596,none
Lsa_00045159,none
Lsa_00008821,none
Lsa_00008821,none
Lsa_00025878,none
Lsa_00025878,none
Lsa_00025878,none
Lsa_00025878,none
Lsa_00045157,none
Lsa_00012218,none
Lsa_00012218,none
Lsa_00012218,none
Lsa_00014164,none
Lsa_00014164,none
Lsa_00022775,none
Lsa_00022775,none
Lsa_00022775,none
Lsa_00022775,none
Lsa_00022775,none
Lsa_00022775,none
Lsa_00022775,none
Lsa_00022776,none
Lsa_00022776,none
Lsa_00022770,none
Lsa_00022770,none
Lsa_00022770,none
Lsa_00022770,none
Lsa_00022770,none
Lsa_00022770,none
Lsa_00025278,none
Lsa_00025278,none
Lsa_00025278,none
Lsa_00025278,none
Lsa_00025278,none
Lsa_00060469,none
Lsa_00060468,none
Lsa_00019758,none
Lsa_00008536,repr
Lsa_00008536,repr
Lsa_00008536,repr
Lsa_00043203,none
Lsa_00043203,none
Lsa_00043203,none
Lsa_00043203,none
Lsa_00008533,none
Lsa_00008533,none
Lsa_00008532,none
Lsa_00005031,none
Lsa_00005036,none
Lsa_00021958,none
Lsa_00007435,none
Lsa_00007435,none
Lsa_00007435,none
Lsa_00007435,none
Lsa_00002539,none
Lsa_00002539,none
Lsa_00048400,none
Lsa_00053586,none
Lsa_00027657,none
Lsa_00027651,none
Lsa_00027651,none
Lsa_00018781,none
Lsa_00018780,none
Lsa_00018780,none
Lsa_00018788,none
Lsa_00018788,none
Lsa_00018788,none
Lsa_00018788,none
Lsa_00018788,none
Lsa_00054740,none
Lsa_00028212,none
Lsa_00028212,none
Lsa_00028212,none
Lsa_00002564,none
Lsa_00052984,none
Lsa_00052671,none
Lsa_00020382,none
Lsa_00057000,none
Lsa_00057007,none
Lsa_00057006,none
Lsa_00056354,none
Lsa_00049469,none
Lsa_00049469,none
Lsa_00020375,repr
Lsa_00020375,repr
Lsa_00058587,none
Lsa_00045053,none
Lsa_00026072,repr
Lsa_00026072,repr
Lsa_00026072,repr
Lsa_00026072,repr
Lsa_00006710,none
Lsa_00006719,none
Lsa_00006719,none
Lsa_00006719,none
Lsa_00006719,none
Lsa_00007040,none
Lsa_00007040,none
Lsa_00007040,none
Lsa_00007046,none
Lsa_00007046,none
Lsa_00007044,none
Lsa_00007045,none
Lsa_00057914,none
Lsa_00057916,none
Lsa_00021166,none
Lsa_00053498,none
Lsa_00010994,none
Lsa_00010994,none
Lsa_00010994,none
Lsa_00047239,none
Lsa_00023175,none
Lsa_00006175,none
Lsa_00006175,none
Lsa_00012844,none
Lsa_00012844,none
Lsa_00012846,none
Lsa_00012846,none
Lsa_00012846,none
Lsa_00012847,none
Lsa_00028431,none
Lsa_00028434,none
Lsa_00004027,none
Lsa_00004027,none
Lsa_00040614,none
Lsa_00005996,none
Lsa_00005996,none
Lsa_00005997,none
Lsa_00005997,none
Lsa_00005997,none
Lsa_00044761,none
Lsa_00015865,none
Lsa_00015865,none
Lsa_00039205,none
Lsa_00039205,none
Lsa_00039205,none
Lsa_00015868,none
Lsa_00015868,none
Lsa_00015868,none
Lsa_00015868,none
Lsa_00015868,none
Lsa_00039202,none
Lsa_00014198,none
Lsa_00014198,none
Lsa_00014198,none
Lsa_00026521,none
Lsa_00032577,none
Lsa_00020032,none
Lsa_00053491,none
Lsa_00005370,none
Lsa_00005376,none
Lsa_00005376,none
Lsa_00005376,none
Lsa_00005376,none
Lsa_00013083,none
Lsa_00013083,none
Lsa_00013083,none
Lsa_00013084,none
Lsa_00013084,none
Lsa_00045494,none
Lsa_00014735,none
Lsa_00014735,none
Lsa_00014735,none
Lsa_00014735,none
Lsa_00014735,none
Lsa_00014735,none
Lsa_00014737,both
Lsa_00014737,both
Lsa_00014733,none
Lsa_00013330,none
Lsa_00013330,none
Lsa_00015475,none
Lsa_00015473,none
Lsa_00015473,none
Lsa_00012062,none
Lsa_00012063,none
Lsa_00012063,none
Lsa_00012060,none
Lsa_00012060,none
Lsa_00012061,none
Lsa_00012064,repr
Lsa_00012064,repr
Lsa_00012064,repr
Lsa_00012064,repr
Lsa_00012065,none
Lsa_00012065,none
Lsa_00012065,none
Lsa_00012065,none
Lsa_00011230,none
Lsa_00003027,none
Lsa_00003027,none
Lsa_00003027,none
Lsa_00003027,none
Lsa_00003027,none
Lsa_00003027,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
Lsa_00003021,none
