row,tissue_diff_2nd_analysis
Lsa_00031004,NA
Lsa_00024003,NA
Lsa_00024005,NA
Lsa_00024005,NA
Lsa_00024007,NA
Lsa_00024009,NA
Lsa_00038529,NA
Lsa_00038529,NA
Lsa_00038529,NA
Lsa_00044379,NA
Lsa_00007276,NA
Lsa_00007276,NA
Lsa_00035654,both
Lsa_00035650,both
Lsa_00028114,NA
Lsa_00028114,NA
Lsa_00028113,NA
Lsa_00014221,NA
Lsa_00014221,NA
Lsa_00028110,sax
Lsa_00037878,NA
Lsa_00029445,NA
Lsa_00037874,NA
Lsa_00037874,NA
Lsa_00037872,both
Lsa_00037873,sax
Lsa_00025753,NA
Lsa_00025753,NA
Lsa_00025753,NA
Lsa_00025750,NA
Lsa_00028676,NA
Lsa_00028676,NA
Lsa_00028676,NA
Lsa_00028676,NA
Lsa_00028676,NA
Lsa_00028676,NA
Lsa_00028676,NA
Lsa_00030066,NA
Lsa_00030066,NA
Lsa_00030066,NA
Lsa_00030066,NA
Lsa_00030066,NA
Lsa_00030060,sax
Lsa_00029992,NA
Lsa_00029992,NA
Lsa_00034528,NA
Lsa_00034528,NA
Lsa_00034528,NA
Lsa_00044628,NA
Lsa_00019374,both
Lsa_00043453,NA
Lsa_00012836,NA
Lsa_00012836,NA
Lsa_00023343,NA
Lsa_00023343,NA
Lsa_00023343,NA
Lsa_00023343,NA
Lsa_00023343,NA
Lsa_00023343,NA
Lsa_00023343,NA
Lsa_00023342,NA
Lsa_00023341,NA
Lsa_00023341,NA
Lsa_00023341,NA
Lsa_00023346,NA
Lsa_00023346,NA
Lsa_00023345,NA
Lsa_00023345,NA
Lsa_00023345,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021855,NA
Lsa_00021856,NA
Lsa_00021859,NA
Lsa_00034699,NA
Lsa_00034698,NA
Lsa_00019462,NA
Lsa_00019462,NA
Lsa_00034693,NA
Lsa_00034693,NA
Lsa_00034693,NA
Lsa_00048218,NA
Lsa_00048218,NA
Lsa_00043376,NA
Lsa_00034030,NA
Lsa_00034030,NA
Lsa_00034030,NA
Lsa_00034030,NA
Lsa_00034030,NA
