topo1,topo2,topo3
1800,900,7300
2100,2100,5800
700,1500,7800
0,0,10000
3060,1340,5600
3500,3700,2800
880,4820,4300
5000,3200,1800
0,0,10000
1600,1600,6800
1800,2940,5260
2300,4200,3500
5280,1940,2780
2800,2730,4470
2800,4200,3000
2480,1280,6240
2100,3500,4400
320,320,9360
2160,7040,800
6500,1400,2100
7200,1600,1200
2540,2960,4500
5400,1160,3440
2100,3000,4900
6390,900,2710
4000,720,5280
1590,6980,1430
1750,4450,3800
2260,2980,4760
2000,800,7200
4660,2500,2840
1900,2840,5260
5900,2180,1920
2100,2540,5360
1000,3000,6000
2450,450,7100
2600,2600,4800
1100,7300,1600
4120,1680,4200
2000,800,7200
5100,3500,1400
0,1000,9000
0,8320,1680
6240,2640,1120
4900,900,4200
4920,2900,2180
1200,3200,5600
5000,0,5000
4400,2800,2800
3540,3780,2680
6100,2900,1000
1500,5500,3000
3000,3000,4000
900,1400,7700
1140,5400,3460
2000,0,8000
800,0,9200
7520,600,1880
2110,4100,3790
2280,3600,4120
3200,3400,3400
750,1400,7850
1980,5220,2800
4260,4170,1570
0,0,10000
5500,1800,2700
4500,3300,2200
2580,5220,2200
2700,4370,2930
7240,180,2580
2940,2380,4680
2660,3440,3900
3360,3220,3420
3500,1710,4790
2560,1280,6160
1040,3040,5920
2500,5000,2500
3920,3240,2840
0,0,10000
840,3120,6040
2300,100,7600
3200,1200,5600
6000,800,3200
400,0,9600
7200,1180,1620
1600,2400,6000
4240,3400,2360
2400,0,7600
4480,2140,3380
1360,7600,1040
680,960,8360
3900,4280,1820
1150,320,8530
1800,5690,2510
1600,2800,5600
900,4220,4880
1400,5800,2800
2130,2970,4900
3800,1900,4300
1630,3690,4680
1000,1080,7920
4830,1200,3970
5640,1840,2520
5600,2500,1900
320,4400,5280
5000,3400,1600
2720,4680,2600
5700,1160,3140
1560,4440,4000
3620,2080,4300
4480,210,5310
1980,4900,3120
1040,1600,7360
1450,2550,6000
0,0,10000
1050,2030,6920
3400,3700,2900
5720,1700,2580
140,3150,6710
400,5000,4600
1650,6250,2100
1840,480,7680
2300,3450,4250
3880,5220,900
1880,3120,5000
3000,2500,4500
3000,3000,4000
2860,3100,4040
5180,500,4320
500,8700,800
0,1800,8200
1200,4200,4600
900,6800,2300
3500,3200,3300
5100,2900,2000
5500,1800,2700
5700,2300,2000
1860,2820,5320
4530,2030,3440
5160,2980,1860
6660,1940,1400
1600,2000,6400
4200,0,5800
7760,200,2040
3120,1780,5100
2400,6000,1600
3080,3740,3180
1600,5400,3000
0,4400,5600
180,4180,5640
3660,2420,3920
3000,2800,4200
2700,3500,3800
1600,4360,4040
1500,1500,7000
4800,3200,2000
1480,2160,6360
2100,5500,2400
1200,800,8000
0,3000,7000
6400,2000,1600
2300,500,7200
1790,740,7470
5000,300,4700
760,3900,5340
1540,3400,5060
2400,3280,4320
3840,3760,2400
160,2160,7680
450,1990,7560
6000,480,3520
5100,3000,1900
2000,0,8000
5840,240,3920
1050,6830,2120
1600,1800,6600
4320,3280,2400
900,4900,4200
3840,1980,4180
6000,0,4000
0,1000,9000
5140,1860,3000
1400,5600,3000
2240,3400,4360
3400,2100,4500
5200,1250,3550
2590,2310,5100
4600,3000,2400
5000,900,4100
0,0,10000
0,0,10000
4200,2900,2900
1140,2120,6740
100,3600,6300
4500,5040,460
4980,820,4200
6600,1120,2280
0,3000,7000
2850,2500,4650
1270,2720,6010
1400,7520,1080
3500,3000,3500
8160,400,1440
1000,4200,4800
4500,0,5500
450,6210,3340
1450,6150,2400
800,5000,4200
4210,3160,2630
2720,1380,5900
4000,1800,4200
6200,400,3400
7260,240,2500
800,0,9200
3780,3340,2880
2160,4180,3660
5100,3000,1900
1600,2750,5650
5000,400,4600
0,2100,7900
3000,5700,1300
920,8380,700
300,2700,7000
6000,0,4000
1120,5040,3840
2280,1000,6720
4840,1460,3700
620,4740,4640
5000,1800,3200
1810,1350,6840
4100,4200,1700
1890,1260,6850
6740,1180,2080
2050,3030,4920
1400,5600,3000
8000,0,2000
630,30,9340
2280,1040,6680
600,7700,1700
4620,1780,3600
5300,2920,1780
1100,8100,800
500,4500,5000
5400,1660,2940
3000,2500,4500
4720,240,5040
7140,960,1900
810,810,8380
2700,760,6540
1710,5310,2980
2350,4500,3150
4500,3100,2400
2820,780,6400
3200,3220,3580
1830,2190,5980
3220,2840,3940
1260,1440,7300
2500,1690,5810
1700,5040,3260
2000,3500,4500
3600,0,6400
2980,600,6420
2720,1920,5360
1000,0,9000
2940,4560,2500
2200,2800,5000
1880,3000,5120
2000,0,8000
5900,1400,2700
2000,1600,6400
3800,1600,4600
1600,1600,6800
1800,5260,2940
1170,3440,5390
2240,5520,2240
1000,5400,3600
200,4000,5800
4500,500,5000
1250,2500,6250
3700,0,6300
3000,6400,600
5510,1580,2910
1400,2280,6320
6120,1980,1900
900,1790,7310
6000,1400,2600
6600,1200,2200
1140,5200,3660
0,7600,2400
6400,1900,1700
4800,840,4360
3840,6160,0
1900,2740,5360
290,900,8810
400,6300,3300
600,0,9400
2980,5380,1640
260,580,9160
6120,1280,2600
2900,1700,5400
6480,1330,2190
4100,2340,3560
4750,3330,1920
1080,1290,7630
2600,2280,5120
3200,2960,3840
4600,2300,3100
2960,3440,3600
2740,3060,4200
4000,3500,2500
720,3680,5600
1000,6100,2900
7520,880,1600
900,8170,930
3600,3000,3400
3000,0,7000
3740,2640,3620
3210,2510,4280
1200,3200,5600
1140,8160,700
2750,4350,2900
1560,3500,4940
500,5000,4500
5000,0,5000
3500,3600,2900
1200,320,8480
6600,800,2600
900,2700,6400
3000,0,7000
1120,4800,4080
950,4150,4900
4460,2040,3500
2160,5240,2600
3150,2250,4600
1440,4460,4100
3430,4380,2190
3600,1600,4800
3000,2240,4760
4800,4480,720
0,1000,9000
1200,5700,3100
3940,3310,2750
240,1560,8200
6000,0,4000
1500,3580,4920
3150,150,6700
4800,5000,200
5000,0,5000
2050,3960,3990
840,7000,2160
600,5900,3500
1620,3420,4960
6300,1200,2500
6150,350,3500
0,700,9300
1440,640,7920
2660,2680,4660
680,7520,1800
2040,4890,3070
5000,1200,3800
3400,800,5800
3920,2960,3120
1960,3720,4320
5290,1610,3100
0,8000,2000
3200,1920,4880
1510,6780,1710
3400,1400,5200
5440,600,3960
2660,4480,2860
3200,600,6200
4560,4100,1340
1960,3420,4620
600,6300,3100
2520,5710,1770
4020,3760,2220
2680,5760,1560
720,4000,5280
2520,4000,3480
6840,1560,1600
5000,3500,1500
1900,600,7500
3770,3500,2730
1000,1180,7820
1480,3920,4600
1560,5340,3100
3500,1920,4580
3800,2200,4000
3600,1000,5400
3000,5600,1400
800,8000,1200
