topo1,topo2,topo3
790,2760,6450
3030,1230,5740
3905,2440,3655
3335,1945,4720
4150,2050,3800
1420,1482,7098
0,3960,6040
800,0,9200
5640,1800,2560
2845,3880,3275
1084,6172,2744
2536,3236,4228
602,2562,6836
6400,2800,800
5010,2090,2900
1688,6072,2240
3200,2900,3900
5124,2592,2284
560,960,8480
4520,2820,2660
2490,1700,5810
3152,2612,4236
2772,4038,3190
3084,1384,5532
400,5400,4200
1508,2224,6268
2120,3220,4660
2832,3702,3466
2980,2300,4720
1570,4770,3660
5970,1480,2550
4635,415,4950
4160,4440,1400
2762,2372,4866
1032,3624,5344
4750,1470,3780
4170,910,4920
2270,4540,3190
2810,90,7100
3272,4136,2592
772,632,8596
2572,3032,4396
1744,1344,6912
2340,3340,4320
2700,3200,4100
4708,2787,2505
5400,2000,2600
7030,1970,1000
1284,4040,4676
2506,2826,4668
674,1388,7938
2640,4520,2840
4140,1840,4020
1852,1632,6516
1040,880,8080
1890,3990,4120
2100,3780,4120
560,5100,4340
5570,2020,2410
2364,4772,2864
3943,2537,3520
1440,480,8080
3600,2900,3500
800,1200,8000
3710,4090,2200
2472,3242,4286
2625,2800,4575
1534,5044,3422
2330,2130,5540
2664,3528,3808
2480,1900,5620
2176,2552,5272
4470,2330,3200
2622,1596,5782
1600,3660,4740
732,1216,8052
2608,2204,5188
3032,1886,5082
1920,1740,6340
6160,1800,2040
1472,1768,6760
3300,1230,5470
1995,4405,3600
0,2340,7660
2818,4576,2606
2048,1118,6834
6330,1510,2160
2080,3840,4080
3000,200,6800
1796,1816,6388
1664,2104,6232
3564,3536,2900
1730,1610,6660
3214,2154,4632
6380,2070,1550
7440,1138,1422
2475,2275,5250
5232,2084,2684
2240,1610,6150
2160,4530,3310
3780,3140,3080
5124,1750,3126
2780,180,7040
4400,1500,4100
2390,4620,2990
3696,2744,3560
3252,2688,4060
4080,2700,3220
2460,3390,4150
5016,2292,2692
3312,1408,5280
2000,3000,5000
3010,840,6150
1368,3424,5208
2630,3940,3430
2380,3120,4500
2140,1160,6700
1840,1830,6330
2402,5274,2324
2583,5093,2324
2000,1840,6160
880,5560,3560
2900,3010,4090
1230,1200,7570
2034,3694,4272
2000,1600,6400
0,0,10000
3600,2100,4300
2184,2152,5664
2340,4540,3120
2796,2828,4376
3880,240,5880
3384,3368,3248
3532,4014,2454
1664,2944,5392
240,640,9120
2520,1720,5760
2100,3484,4416
2717,3780,3503
2878,3814,3308
3182,3179,3639
120,7280,2600
2550,3210,4240
2880,2400,4720
2410,2850,4740
3050,1900,5050
2520,3400,4080
1016,2080,6904
2440,0,7560
1540,2740,5720
2682,2587,4731
2594,1234,6172
7000,0,3000
3050,1740,5210
3150,2772,4078
2350,2850,4800
5268,2244,2488
2064,1824,6112
200,2320,7480
3300,4000,2700
8250,720,1030
800,3032,6168
2377,1672,5951
1590,3460,4950
1190,6030,2780
4150,1980,3870
3560,1770,4670
2178,3568,4254
3540,2520,3940
1590,3320,5090
1580,4440,3980
4700,940,4360
2148,3198,4654
2736,2486,4778
1410,810,7780
2744,2264,4992
1756,1160,7084
3630,3560,2810
1712,2052,6236
2300,2680,5020
1704,1644,6652
2044,4904,3052
4040,2540,3420
1400,320,8280
2672,1984,5344
4236,2178,3586
2530,1950,5520
5480,480,4040
6480,1800,1720
2304,3364,4332
5240,3070,1690
8000,0,2000
2912,2444,4644
2254,2204,5542
7020,500,2480
2022,4182,3796
2440,2220,5340
4656,512,4832
3516,3096,3388
5576,1032,3392
4200,2120,3680
2100,2090,5810
2696,3248,4056
1820,3870,4310
4330,3045,2625
1812,2932,5256
4970,2270,2760
1380,2220,6400
4640,3400,1960
1008,5592,3400
6580,1020,2400
4200,1820,3980
910,2790,6300
2550,1605,5845
3280,2582,4138
4822,2868,2310
4080,3360,2560
6440,620,2940
3150,2745,4105
2000,500,7500
2710,3840,3450
600,4310,5090
2580,4600,2820
5360,1550,3090
3750,3000,3250
2540,4160,3300
2720,2070,5210
1420,2280,6300
2842,3057,4101
4860,2600,2540
2760,520,6720
4030,3537,2433
2070,2996,4934
2032,4040,3928
2720,2700,4580
1440,2360,6200
1948,3894,4158
550,850,8600
3252,1792,4956
1400,2340,6260
2960,5000,2040
1280,3730,4990
1800,2160,6040
1970,1620,6410
1230,2190,6580
2184,3924,3892
1420,3930,4650
2040,3370,4590
4268,1660,4072
1919,1946,6135
4040,2600,3360
3704,2756,3540
2294,2894,4812
3040,3500,3460
3324,3324,3352
1425,1245,7330
4370,2520,3110
1360,1710,6930
1205,5175,3620
4182,959,4859
2280,1600,6120
6462,1936,1602
3140,3210,3650
2750,4100,3150
1955,1730,6315
3488,3858,2654
2948,616,6436
2700,2700,4600
4260,2097,3643
1700,4890,3410
5600,2000,2400
3584,1288,5128
2958,2824,4218
3480,3680,2840
2690,1800,5510
5700,50,4250
4500,2500,3000
3014,1946,5040
1556,2006,6438
4740,1660,3600
1950,5100,2950
2720,2960,4320
2760,3385,3855
3900,2030,4070
4246,3838,1916
7200,1940,860
3819,2432,3749
0,4000,6000
4760,2120,3120
6050,3050,900
3280,2400,4320
1280,5520,3200
4302,3564,2134
2100,1400,6500
1640,640,7720
680,4560,4760
5220,1280,3500
1850,2350,5800
3178,2658,4164
5630,2900,1470
1480,1040,7480
1800,3920,4280
5059,1621,3320
2180,1690,6130
2867,2552,4581
3744,3608,2648
300,210,9490
2100,2100,5800
2540,3440,4020
1884,5974,2142
5562,1332,3106
2400,4720,2880
4038,3158,2804
1640,3180,5180
2664,2304,5032
3254,1990,4756
3540,730,5730
3760,2880,3360
2608,4648,2744
3860,4340,1800
3312,2672,4016
5781,1731,2488
2314,2888,4798
2720,2260,5020
2078,2092,5830
3400,2800,3800
3150,2080,4770
2740,2568,4692
2382,2802,4816
2790,4040,3170
6000,1500,2500
3292,3022,3686
3220,2910,3870
2210,1760,6030
2440,1960,5600
4240,1332,4428
4212,3432,2356
4010,2520,3470
3710,3500,2790
3900,2530,3570
2970,2260,4770
3840,560,5600
1350,360,8290
1345,4150,4505
2040,1624,6336
5440,1920,2640
3340,2580,4080
4260,1770,3970
2650,2180,5170
3456,2112,4432
3474,2778,3748
2040,5880,2080
2856,2768,4376
2090,2208,5702
2580,1200,6220
2646,2660,4694
4020,3600,2380
4160,2700,3140
1400,0,8600
1832,2432,5736
1940,900,7160
1496,5432,3072
1500,1940,6560
2994,3042,3964
2340,3270,4390
5196,2108,2696
3300,1320,5380
0,0,10000
2478,1881,5641
4680,3830,1490
3360,1910,4730
2536,5078,2386
3340,4100,2560
2956,1272,5772
3270,2230,4500
2240,4380,3380
2480,5980,1540
2180,1895,5925
2604,4704,2692
5180,1220,3600
4110,3760,2130
2260,5820,1920
2922,4502,2576
2710,1440,5850
5880,900,3220
2502,2112,5386
1150,5110,3740
1990,4710,3300
1632,1962,6406
348,3388,6264
2980,3670,3350
480,2160,7360
900,5620,3480
5234,1960,2806
3521,3027,3452
4737,2107,3156
1880,5080,3040
3292,2872,3836
6145,1125,2730
880,3310,5810
3056,2536,4408
3462,2624,3914
1060,4840,4100
2212,3062,4726
3780,600,5620
3044,3468,3488
4608,2792,2600
3220,2778,4002
1360,720,7920
2092,3688,4220
2426,3404,4170
3838,2488,3674
2000,4350,3650
1000,4000,5000
2390,1600,6010
2120,1520,6360
2550,3450,4000
2610,3880,3510
700,5400,3900
2512,1712,5776
2352,1954,5694
2040,2560,5400
2080,800,7120
3280,3375,3345
1730,6500,1770
3664,2648,3688
2736,3544,3720
3342,3252,3406
2840,3696,3464
5140,1580,3280
1476,3828,4696
6120,2200,1680
2110,2570,5320
1595,3800,4605
5000,0,5000
4392,3280,2328
3670,3410,2920
1150,2500,6350
2548,2196,5256
0,0,10000
2280,4300,3420
5216,2192,2592
2388,979,6633
3050,3850,3100
2048,2530,5422
2230,2270,5500
3600,2314,4086
3410,2900,3690
2980,4920,2100
5376,2132,2492
2110,4690,3200
2780,2800,4420
3800,6060,140
2208,2688,5104
2128,2748,5124
2544,1248,6208
2280,3080,4640
3444,3304,3252
1800,800,7400
3468,2928,3604
2190,1990,5820
2370,3220,4410
800,2760,6440
3170,4240,2590
2590,2850,4560
3700,1860,4440
2620,2580,4800
5040,2400,2560
2332,1722,5946
5500,1900,2600
4900,1900,3200
7520,1000,1480
5236,984,3780
4563,1877,3560
1810,6580,1610
4666,1472,3862
2150,2220,5630
3200,2230,4570
3500,1800,4700
4310,2450,3240
2400,3440,4160
2448,3394,4158
1110,840,8050
4240,3390,2370
2580,2915,4505
850,4800,4350
2300,5500,2200
1830,5560,2610
4404,4788,808
1576,2376,6048
1736,1876,6388
2028,4532,3440
3350,2150,4500
600,2400,7000
680,5860,3460
3000,6080,920
2280,2592,5128
1530,2280,6190
3420,1080,5500
3164,4072,2764
1740,2440,5820
1504,2410,6086
1800,4288,3912
2714,2702,4584
960,8280,760
2658,5738,1604
1432,1672,6896
4550,1950,3500
4822,2402,2776
6500,1200,2300
4590,420,4990
2030,550,7420
3980,4190,1830
3536,2432,4032
3424,2876,3700
1290,3810,4900
3400,4200,2400
5020,2740,2240
3820,1020,5160
3512,3960,2528
1220,3380,5400
5880,1420,2700
1990,2014,5996
3617,3599,2784
1970,3340,4690
6432,1224,2344
532,372,9096
2388,3816,3796
5080,2240,2680
3080,360,6560
2870,2032,5098
2215,4450,3335
3100,2780,4120
5240,2950,1810
1788,5224,2988
3000,2480,4520
1470,5000,3530
1460,5540,3000
4142,2636,3222
4180,3360,2460
2915,4430,2655
4860,600,4540
1920,3600,4480
2990,2820,4190
2490,3700,3810
2740,4060,3200
1796,4040,4164
1970,2630,5400
3000,4700,2300
4590,2875,2535
5100,1960,2940
4158,2724,3118
1110,4350,4540
2805,2465,4730
2471,3202,4327
2970,2330,4700
2920,4880,2200
2600,2580,4820
3600,4940,1460
240,200,9560
0,600,9400
3000,1700,5300
3040,2470,4490
3650,2550,3800
2873,4287,2840
2258,1484,6258
820,2850,6330
1380,2136,6484
480,1080,8440
690,3420,5890
1804,2414,5782
2332,3638,4030
4320,270,5410
2500,1400,6100
1260,3920,4820
2100,2390,5510
4230,2100,3670
1916,1476,6608
3600,2500,3900
2110,4670,3220
428,1850,7722
2633,2660,4707
4679,2014,3307
3350,1800,4850
3600,2052,4348
4358,2246,3396
3420,2420,4160
3560,2200,4240
4094,2314,3592
2700,3720,3580
360,5400,4240
860,4500,4640
2900,1590,5510
2550,2500,4950
1846,3098,5056
3904,2448,3648
2808,3288,3904
2804,3504,3692
3000,3840,3160
1920,2358,5722
5252,2336,2412
4560,1300,4140
500,0,9500
2192,3020,4788
2580,2460,4960
1152,1212,7636
4400,1340,4260
2436,5660,1904
4654,2998,2348
1580,970,7450
3972,3334,2694
2704,2992,4304
3500,1400,5100
7120,1490,1390
3180,1340,5480
2740,320,6940
3180,2280,4540
2920,1070,6010
1570,3170,5260
2000,5690,2310
2264,2220,5516
4840,2460,2700
