topo1,topo2,topo3
2790,2782,4428
5140,1965,2895
2820,2600,4580
3350,3140,3510
2928,4482,2590
4216,2986,2798
3500,2680,3820
3334,3188,3478
2734,3098,4168
2000,2640,5360
2899,5137,1964
3794,2720,3486
2916,4136,2948
4850,2634,2516
3700,4160,2140
3662,2611,3727
2450,4270,3280
2700,4360,2940
4456,2010,3534
6014,1588,2398
7216,1642,1142
3644,2952,3404
4390,2660,2950
4570,2950,2480
3050,3500,3450
3720,4320,1960
6316,1962,1722
3222,4044,2734
3270,3200,3530
4044,3668,2288
6840,1930,1230
4204,3250,2546
4232,2384,3384
3393,3969,2638
5140,2400,2460
4410,2810,2780
3012,5204,1784
2890,1880,5230
7380,1640,980
5160,2208,2632
2580,3618,3802
4180,3320,2500
3711,3232,3057
3515,4360,2125
4006,2776,3218
4334,2667,2999
2727,5739,1534
1840,5240,2920
3520,3458,3022
3357,3123,3520
4106,3114,2780
5501,1946,2553
4050,2880,3070
4234,3088,2678
4036,2238,3726
4880,3110,2010
3150,3780,3070
3680,3700,2620
3912,3024,3064
6230,1710,2060
6101,1983,1916
3660,2480,3860
1700,5000,3300
4542,2292,3166
5496,2744,1760
3160,1160,5680
4012,3074,2914
3037,3599,3364
3544,2448,4008
3384,3032,3584
2710,3610,3680
3300,2950,3750
2940,3180,3880
3680,2360,3960
2280,3560,4160
2730,3680,3590
3510,2540,3950
3928,3502,2570
3354,4048,2598
3495,2785,3720
2740,4050,3210
2696,4338,2966
3480,2850,3670
5028,2104,2868
2889,4216,2895
4770,2472,2758
4780,2768,2452
3934,2690,3376
3440,2990,3570
3742,1768,4490
8440,1150,410
3192,3318,3490
2650,4357,2993
3292,2992,3716
4020,3624,2356
3590,4350,2060
3210,3000,3790
2710,2200,5090
2960,5756,1284
5710,2170,2120
3308,3546,3146
4870,2780,2350
3126,3343,3531
4755,2691,2554
3354,4124,2522
5768,2496,1736
5240,300,4460
4668,2241,3091
5086,2292,2622
3216,4638,2146
3620,2310,4070
4350,2700,2950
5848,2261,1891
4830,2660,2510
1970,3100,4930
1950,1050,7000
4956,3428,1616
3672,2954,3374
2810,5530,1660
4042,1968,3990
2462,3476,4062
3176,4848,1976
2924,3220,3856
4936,2262,2802
5408,1932,2660
3390,3210,3400
3510,2520,3970
4300,3340,2360
3560,3454,2986
3557,3194,3249
6030,2020,1950
2540,3450,4010
4840,2800,2360
4824,2520,2656
3820,1640,4540
4730,4010,1260
2786,4022,3192
3146,2592,4262
2390,3720,3890
3984,3090,2926
4678,2826,2496
2445,5120,2435
4572,2904,2524
6332,2044,1624
3260,2636,4104
4304,2076,3620
4776,2592,2632
5214,2484,2302
3230,4170,2600
4780,1830,3390
7680,1840,480
5490,1970,2540
5440,2400,2160
4722,2714,2564
3356,2169,4475
5696,1710,2594
3426,2888,3686
2740,5542,1718
2406,3778,3816
3890,2280,3830
3090,3100,3810
2780,2900,4320
1740,3440,4820
3490,2830,3680
2900,4040,3060
4750,2170,3080
3140,3395,3465
4161,3281,2558
5527,1976,2497
1820,1880,6300
2326,3664,4010
2830,4270,2900
3938,3726,2336
4860,3060,2080
3600,3860,2540
3910,2750,3340
3770,3590,2640
4020,3058,2922
3642,3756,2602
3206,3318,3476
3796,2896,3308
3798,4140,2062
2054,1758,6188
2290,4980,2730
3032,2978,3990
2632,4416,2952
7684,1340,976
4038,2428,3534
2480,3340,4180
3412,4216,2372
3225,3830,2945
4368,2688,2944
5100,2460,2440
4862,1790,3348
2016,3315,4669
2266,2604,5130
3004,4688,2308
2860,2974,4166
3030,4990,1980
5210,930,3860
1860,4840,3300
3670,2840,3490
2750,3300,3950
3338,2807,3855
5490,1740,2770
3860,2530,3610
1940,4270,3790
5140,2246,2614
2716,4004,3280
4026,3794,2180
3600,3390,3010
2880,4040,3080
3772,4016,2212
2440,4480,3080
5446,2312,2242
3407,3900,2693
4250,2980,2770
3950,2560,3490
2860,2308,4832
2100,2590,5310
4522,2586,2892
3248,2929,3823
3620,3070,3310
4052,1864,4084
2846,3758,3396
2150,5070,2780
4410,3010,2580
2560,2560,4880
3496,3832,2672
3050,2710,4240
3421,3335,3244
4414,3212,2374
4462,2426,3112
2740,3540,3720
4190,2760,3050
4112,3054,2834
3454,2998,3548
3772,2436,3792
6616,1436,1948
4528,2626,2846
4598,2644,2758
3266,2468,4266
5380,2848,1772
4966,2872,2162
6425,1792,1783
3001,3090,3909
6320,2440,1240
3707,3339,2954
6562,1199,2239
5710,1540,2750
3860,3010,3130
3160,2750,4090
3687,3264,3049
3708,2956,3336
4010,2850,3140
3396,3942,2662
3180,2670,4150
3238,2542,4220
2792,2818,4390
4072,3206,2722
3780,3142,3078
3830,3240,2930
3820,3765,2415
5300,2090,2610
4292,2890,2818
4292,3446,2262
3950,3250,2800
4800,2200,3000
2900,3320,3780
3464,3292,3244
3278,4376,2346
3214,4144,2642
3324,2868,3808
7222,1214,1564
3300,1870,4830
3828,3386,2786
3140,4102,2758
4220,2380,3400
4020,3006,2974
2700,3390,3910
5144,2632,2224
3653,3418,2929
3106,1576,5318
4560,2019,3421
3700,4340,1960
3564,4046,2390
4024,3508,2468
2850,3900,3250
2930,2730,4340
4850,3370,1780
4446,2452,3102
2955,2415,4630
2576,3962,3462
4420,1160,4420
3700,5400,900
4550,3560,1890
3260,3660,3080
3756,2652,3592
4618,3172,2210
2500,2590,4910
4116,3106,2778
3068,4382,2550
7230,1590,1180
3670,2350,3980
4302,3382,2316
3526,2493,3981
3228,2514,4258
3255,5310,1435
3792,3942,2266
4290,3080,2630
5420,3074,1506
3220,3280,3500
2890,3160,3950
3080,2940,3980
4024,3138,2838
3625,3805,2570
1980,5620,2400
2941,3888,3171
4629,3121,2250
3620,3080,3300
2824,3756,3420
2368,3314,4318
3340,2840,3820
2550,3450,4000
2838,3266,3896
4320,3098,2582
7650,850,1500
2590,3950,3460
3980,3280,2740
4398,3146,2456
1880,3600,4520
3008,3874,3118
3750,2520,3730
3630,2840,3530
3990,2520,3490
1840,3490,4670
2591,3125,4284
5910,2110,1980
4000,2804,3196
3770,2682,3548
5162,2660,2178
4166,3848,1986
3144,3680,3176
6408,2036,1556
3890,3826,2284
2924,2308,4768
3780,3800,2420
3060,2700,4240
5200,1890,2910
3732,3738,2530
3738,3116,3146
3002,3649,3349
3076,5748,1176
5312,2192,2496
4020,3200,2780
2314,3872,3814
3444,3300,3256
3224,2796,3980
3928,4062,2010
4393,4106,1501
3688,3076,3236
2571,2590,4839
3410,3240,3350
2857,3116,4027
3300,3360,3340
3784,2822,3394
3507,4002,2491
5970,1900,2130
4980,2160,2860
5456,2724,1820
2968,4610,2422
6071,3193,736
2410,3540,4050
5032,1920,3048
4020,3570,2410
5410,2310,2280
4070,2540,3390
5240,2630,2130
3208,4276,2516
3076,3356,3568
3460,4060,2480
4353,2729,2918
3030,2670,4300
3676,3128,3196
4868,3694,1438
3248,3376,3376
3168,2808,4024
3670,3110,3220
2020,6100,1880
6640,2250,1110
4510,2110,3380
3072,3570,3358
4770,1740,3490
4432,3404,2164
4640,2620,2740
5457,2810,1733
4540,4286,1174
2675,4674,2651
2548,5356,2096
1400,1920,6680
5570,2290,2140
4690,2040,3270
4756,2700,2544
5410,2170,2420
2940,2990,4070
3698,3154,3148
3010,3650,3340
3519,2738,3743
5220,2350,2430
2836,4520,2644
3080,3060,3860
4935,2635,2430
3724,3588,2688
3188,3232,3580
4322,3332,2346
2930,3910,3160
1972,2516,5512
3758,3092,3150
5004,1816,3180
3460,3645,2895
3874,3348,2778
3350,1630,5020
3128,3192,3680
2992,3676,3332
5368,1586,3046
3543,3481,2976
4166,2578,3256
4030,3500,2470
6432,2100,1468
4163,3090,2747
4570,920,4510
4550,2218,3232
4388,5016,596
2630,1520,5850
4150,3020,2830
2495,3142,4363
3400,3260,3340
3120,4624,2256
2736,2264,5000
3680,2880,3440
4706,2616,2678
3620,2640,3740
3240,2860,3900
3390,3024,3586
3916,3528,2556
3228,3412,3360
3266,2386,4348
3680,3280,3040
4237,3164,2599
3770,3030,3200
3020,3540,3440
4066,2972,2962
3012,2568,4420
4080,3110,2810
3794,3560,2646
3678,2920,3402
4312,2386,3302
2754,2898,4348
2220,2200,5580
4435,2390,3175
3796,3168,3036
3350,2690,3960
4473,3614,1913
3330,2250,4420
4600,3250,2150
4048,2828,3124
3760,3230,3010
2770,3110,4120
4910,2590,2500
3373,3200,3427
2695,4065,3240
3288,2726,3986
1630,3830,4540
2316,1758,5926
3836,3222,2942
3092,3281,3627
3780,3650,2570
4636,2886,2478
2825,1964,5211
5491,2670,1839
4232,2196,3572
3470,4150,2380
3220,2470,4310
3430,4500,2070
3280,2120,4600
2740,3870,3390
2810,5180,2010
2349,5812,1839
4183,2701,3116
2448,2827,4725
