topo1,topo2,topo3
5506,2180,2314
6350,2140,1510
5010,2000,2990
2840,3880,3280
4030,2610,3360
3240,3412,3348
3614,3140,3246
4098,2666,3236
3350,1660,4990
2780,5260,1960
3080,680,6240
3938,2487,3575
2822,2670,4508
6200,1952,1848
4284,2500,3216
3295,3101,3604
2960,2040,5000
3400,3728,2872
1758,4712,3530
4106,1232,4662
4076,2248,3676
3160,2820,4020
3527,2727,3746
5269,2013,2718
3660,2650,3690
4815,2605,2580
8100,940,960
2820,3612,3568
2760,2980,4260
4240,2120,3640
3250,3630,3120
6140,2080,1780
1909,1258,6833
744,1230,8026
5700,1030,3270
2992,1762,5246
4640,1310,4050
3270,960,5770
7440,640,1920
2680,1882,5438
2678,4874,2448
5130,1728,3142
1780,3600,4620
3880,2820,3300
5022,1879,3099
3408,4626,1966
3222,2086,4692
7986,1172,842
3630,3310,3060
2920,4280,2800
2420,3540,4040
5550,1700,2750
5156,2140,2704
1764,2748,5488
2200,3160,4640
3170,2590,4240
3008,1344,5648
5760,1550,2690
3480,3980,2540
6760,1720,1520
2184,3652,4164
6610,1330,2060
4158,2496,3346
1990,2910,5100
4952,1876,3172
2970,3671,3359
3006,2364,4630
3074,1618,5308
4950,1020,4030
2580,3260,4160
3052,3438,3510
4100,2400,3500
3992,3296,2712
1290,1890,6820
3920,2880,3200
2640,520,6840
4870,2460,2670
5376,1304,3320
3880,2480,3640
2700,5650,1650
1680,2110,6210
6500,2100,1400
5000,2780,2220
4520,2520,2960
2888,4240,2872
5210,2090,2700
3770,3820,2410
5480,3720,800
4800,3280,1920
4532,1352,4116
2840,5160,2000
7282,1344,1374
2760,3020,4220
9640,180,180
4320,4620,1060
5119,3502,1379
3520,2700,3780
1300,1800,6900
3405,1994,4601
4330,930,4740
4960,4140,900
3248,3282,3470
5760,820,3420
4078,2516,3406
3364,2148,4488
2460,3100,4440
3940,2882,3178
5488,2540,1972
5850,2280,1870
1248,816,7936
3918,3924,2158
3518,3278,3204
2190,1930,5880
6460,810,2730
8000,1300,700
4630,3060,2310
1920,1860,6220
5575,2265,2160
1612,2412,5976
4496,1668,3836
6342,1514,2144
3400,3300,3300
4872,2664,2464
1680,5600,2720
3160,4280,2560
4520,1020,4460
3172,3264,3564
2806,392,6802
2707,2361,4932
4054,3902,2044
3812,2322,3866
6736,1512,1752
8000,640,1360
4120,3460,2420
3880,880,5240
5360,1320,3320
4200,3440,2360
6740,1400,1860
3104,2048,4848
1920,4680,3400
3290,2160,4550
3144,3424,3432
2600,4410,2990
3236,3252,3512
2730,2960,4310
3410,4530,2060
3818,1710,4472
4430,1860,3710
3211,3636,3153
3656,3972,2372
3700,3260,3040
4340,1440,4220
4908,2928,2164
5494,2286,2220
4748,3474,1778
4176,1282,4542
4296,3478,2226
3236,3232,3532
2914,994,6092
3822,2154,4024
7380,220,2400
6588,1376,2036
3772,2516,3712
4352,1704,3944
2620,3240,4140
3375,3460,3165
4766,1572,3662
2628,1216,6156
3600,1778,4622
4228,2504,3268
2372,2948,4680
2920,760,6320
2580,1780,5640
7560,1150,1290
6600,1190,2210
2884,3544,3572
6520,1960,1520
3512,2180,4308
3220,2210,4570
4785,2345,2870
2968,2708,4324
6480,480,3040
4200,2820,2980
2720,6420,860
4294,2622,3084
5826,1956,2218
3820,3730,2450
3190,2944,3866
3700,1900,4400
6330,2092,1578
3140,1798,5062
1830,3930,4240
3300,4040,2660
7700,1260,1040
3370,2420,4210
1900,1843,6257
6680,958,2362
6560,900,2540
4480,2690,2830
5600,2760,1640
6320,1650,2030
2830,4000,3170
2970,4250,2780
5742,1600,2658
2970,4450,2580
7320,480,2200
2200,1520,6280
4020,1790,4190
4990,1760,3250
9210,140,650
4500,2870,2630
3990,3230,2780
9050,710,240
4492,2392,3116
2822,3504,3674
4650,1730,3620
3052,1700,5248
2370,3520,4110
6540,1120,2340
3750,4690,1560
2882,4320,2798
2080,3400,4520
3880,2980,3140
4040,1280,4680
8480,490,1030
6284,2474,1242
2880,5860,1260
4750,2220,3030
5880,2540,1580
5476,966,3558
2406,4566,3028
2594,2414,4992
2830,3850,3320
3744,4232,2024
4000,800,5200
1580,6790,1630
4200,3350,2450
6043,2124,1833
6602,1754,1644
7352,840,1808
5400,2520,2080
5800,680,3520
4350,1720,3930
3076,2636,4288
2676,2403,4921
3657,3484,2859
5220,960,3820
6400,1980,1620
5544,1218,3238
6074,2262,1664
5244,2848,1908
5152,2004,2844
3600,3300,3100
4200,3240,2560
3664,3936,2400
6055,2345,1600
2358,4376,3266
4356,2416,3228
6320,1630,2050
3940,2700,3360
4304,3144,2552
6716,1260,2024
1760,1240,7000
3450,2420,4130
3892,3224,2884
3627,2023,4350
9600,0,400
1824,1026,7150
6558,2060,1382
3056,4172,2772
3220,3320,3460
3252,4612,2136
3419,2873,3708
6187,1823,1990
4530,3650,1820
5580,1370,3050
5000,3420,1580
5780,1880,2340
6580,1560,1860
1888,2526,5586
4022,3128,2850
1200,1900,6900
2620,4250,3130
2850,6240,910
4378,4336,1286
7200,310,2490
4390,1530,4080
3970,2950,3080
2400,1980,5620
4464,2408,3128
3992,3016,2992
2012,5454,2534
4120,2170,3710
1280,587,8133
4580,2670,2750
3896,2860,3244
3052,3525,3423
4448,2644,2908
4500,2800,2700
2774,3494,3732
5840,1380,2780
6662,1650,1688
3831,3500,2669
6650,1180,2170
2730,4000,3270
4417,1974,3609
4256,3830,1914
3200,3290,3510
