"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp"
"1",789,1066,167,0.825313807531381,0.86455798864558,1,1
"2",829,1072,161,0.837373737373737,0.869424168694242,1,1
"3",843,1062,171,0.831360946745562,0.861313868613139,1,1
"4",682,1095,138,0.831707317073171,0.888077858880779,1,1
"5",689,1077,156,0.815384615384615,0.873479318734793,1,1
"6",731,1063,170,0.811320754716981,0.862124898621249,1,1
"7",819,1064,169,0.828947368421053,0.862935928629359,1,1
"8",884,1056,177,0.833176248821866,0.856447688564477,1,1
"9",901,1065,168,0.842843779232928,0.86374695863747,1,1
"10",818,1065,168,0.829614604462475,0.86374695863747,1,1
"11",753,1066,167,0.818478260869565,0.86455798864558,1,1
"12",792,1054,179,0.815653964984552,0.854825628548256,1,1
"13",868,1044,189,0.821192052980132,0.846715328467153,1,1
"14",896,1056,177,0.835041938490214,0.856447688564477,1,1
"15",814,1073,160,0.835728952772074,0.870235198702352,1,1
"16",819,1055,178,0.821464393179539,0.855636658556367,1,1
"17",781,1052,181,0.811850311850312,0.853203568532036,1,1
"18",800,1065,168,0.826446280991736,0.86374695863747,1,1
"19",816,1073,160,0.836065573770492,0.870235198702352,1,1
"20",923,1067,166,0.847566574839302,0.86536901865369,1,1
"21",757,1069,164,0.821932681867535,0.866991078669911,1,1
"22",760,1070,163,0.823401950162513,0.867802108678021,1,1
"23",815,1069,164,0.832482124616956,0.866991078669911,1,1
"24",688,1070,163,0.808460634547591,0.867802108678021,1,1
"25",897,1059,174,0.837535014005602,0.858880778588808,1,1
"26",764,1067,166,0.821505376344086,0.86536901865369,1,1
"27",835,1074,159,0.840040241448692,0.871046228710462,1,1
"28",879,1054,179,0.830812854442344,0.854825628548256,1,1
"29",859,1074,159,0.843811394891945,0.871046228710462,1,1
"30",710,1091,142,0.833333333333333,0.884833738848337,1,1
"31",809,1061,172,0.82466870540265,0.860502838605028,1,1
"32",811,1071,162,0.833504624871531,0.868613138686131,1,1
"33",706,1062,171,0.805017103762828,0.861313868613139,1,1
"34",775,1077,156,0.832438238453276,0.873479318734793,1,1
"35",619,1074,159,0.795629820051414,0.871046228710462,1,1
"36",860,1066,167,0.837390457643622,0.86455798864558,1,1
"37",845,1058,175,0.82843137254902,0.858069748580698,1,1
"38",790,1069,164,0.828092243186583,0.866991078669911,1,1
"39",709,1063,170,0.806598407281001,0.862124898621249,1,1
"40",683,1081,152,0.817964071856287,0.876723438767234,1,1
"41",781,1055,178,0.814389989572471,0.855636658556367,1,1
"42",672,1080,153,0.814545454545455,0.875912408759124,1,1
"43",786,1067,166,0.82563025210084,0.86536901865369,1,1
"44",791,1060,173,0.820539419087137,0.859691808596918,1,1
"45",703,1063,170,0.805269186712486,0.862124898621249,1,1
