"","pvt_brood_temp","pvt_egg_temp","fixed_temp","shared_temp","prop_pvt_brood_temp","prop_pvt_egg_temp","diff_p_priv_EggBrood","Gtest_p"
"1",1926,3176,445,361,0.842151289899432,0.897936104042974,0.0557848141435427,"TRUE"
"2",1977,4052,347,442,0.817279867713931,0.901646639964397,0.0843667722504656,"TRUE"
"3",1717,4440,349,407,0.808380414312618,0.916030534351145,0.107650120038527,"TRUE"
"4",1859,4617,361,465,0.799913941480207,0.908500590318772,0.108586648838566,"TRUE"
"5",1792,4723,349,444,0.801431127012522,0.914070059996129,0.112638932983607,"TRUE"
"6",2252,4370,342,474,0.826118855465884,0.902146985962015,0.0760281304961308,"TRUE"
"7",2150,3353,425,376,0.851148060174188,0.89916867792974,0.0480206177555514,"TRUE"
"8",2002,4373,336,517,0.794759825327511,0.894274028629857,0.0995142033023459,"TRUE"
"9",1895,4123,382,410,0.822125813449024,0.909552172953894,0.0874263595048698,"TRUE"
"10",1734,4506,364,417,0.806136680613668,0.915295551492992,0.109158870879324,"TRUE"
"11",1906,4489,344,451,0.808655070004243,0.908704453441296,0.100049383437053,"TRUE"
"12",1800,3959,407,355,0.835266821345708,0.917709782104775,0.0824429607590675,"TRUE"
"13",1948,4283,336,415,0.824375793482861,0.91166453810132,0.087288744618459,"TRUE"
"14",2083,4224,325,476,0.813989839781165,0.898723404255319,0.0847335644741546,"TRUE"
"15",1906,4416,350,441,0.812100553898594,0.909203211859172,0.0971026579605784,"TRUE"
"16",1706,4588,341,430,0.798689138576779,0.914308489438023,0.115619350861244,"TRUE"
"17",2203,4486,331,519,0.809331373989713,0.896303696303696,0.0869723223139829,"TRUE"
"18",1835,4317,349,421,0.813386524822695,0.911143942591811,0.0977574177691158,"TRUE"
"19",2128,3898,355,458,0.822892498066512,0.89485766758494,0.0719651695184284,"TRUE"
"20",1747,4241,371,430,0.802480477721635,0.90794262470563,0.105462146983995,"TRUE"
"21",1911,4501,334,434,0.814925373134328,0.912056737588652,0.0971313644543241,"TRUE"
"22",1840,4433,370,423,0.813079982324348,0.912891268533773,0.0998112862094245,"TRUE"
"23",1832,4264,356,376,0.829710144927536,0.918965517241379,0.0892553723138431,"TRUE"
"24",1894,4556,343,447,0.809055958991884,0.910653607835299,0.101597648843415,"TRUE"
"25",1842,4231,338,435,0.808959156785244,0.90677239605658,0.0978132392713358,"TRUE"
"26",2130,4083,346,460,0.822393822393822,0.898745322474136,0.0763515000803137,"TRUE"
"27",1893,4097,364,454,0.806561567959097,0.900241705119754,0.0936801371606572,"TRUE"
"28",1971,4553,329,488,0.801545343635624,0.903193810751835,0.101648467116211,"TRUE"
"29",1949,4326,338,429,0.81959629941127,0.909779179810726,0.0901828803994555,"TRUE"
"30",1978,4398,341,449,0.814997939843428,0.907365380647823,0.0923674408043953,"TRUE"
"31",2107,3785,353,449,0.82433489827856,0.893953708077468,0.0696188097989079,"TRUE"
"32",1734,4204,394,380,0.820245979186377,0.917102966841187,0.0968569876548102,"TRUE"
"33",1897,4279,344,430,0.815212720240653,0.908685495858993,0.0934727756183402,"TRUE"
"34",1989,4195,356,410,0.829095456440183,0.910966340933768,0.0818708844935842,"TRUE"
"35",1854,4634,330,455,0.80294499783456,0.910591471801926,0.107646473967365,"TRUE"
"36",1782,3901,407,345,0.837799717912553,0.918747056052756,0.0809473381402026,"TRUE"
"37",2038,4488,328,484,0.808088818398097,0.902654867256637,0.0945660488585404,"TRUE"
"38",1903,3760,375,362,0.840176600441501,0.912178554099952,0.0720019536584504,"TRUE"
"39",1840,4334,359,409,0.818141396176078,0.913767657600675,0.0956262614245964,"TRUE"
"40",2040,4242,347,448,0.819935691318328,0.904477611940299,0.0845419206219705,"TRUE"
"41",1933,4162,351,429,0.818374259102456,0.906556305815726,0.0881820467132709,"TRUE"
