"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp","diff_p_priv_SpainNorth","S_Gtest_p"
"1",936,1005,274,0.773553719008264,0.785770132916341,1,1,0.0122164139080765,"TRUE"
"2",987,1070,313,0.759230769230769,0.773680404916847,1,1,0.0144496356860782,"TRUE"
"3",970,981,269,0.782889426957224,0.7848,1,1,0.00191057304277653,"TRUE"
"4",965,1122,290,0.768924302788845,0.794617563739377,1,1,0.0256932609505321,"TRUE"
"5",983,998,277,0.78015873015873,0.782745098039216,1,1,0.0025863678804855,"TRUE"
"6",1016,925,245,0.805709754163362,0.790598290598291,0,0,-0.0151114635650719,"TRUE"
"7",848,1130,298,0.739965095986038,0.791316526610644,1,1,0.0513514306246058,"TRUE"
"8",1023,982,254,0.801096319498825,0.794498381877023,0,0,-0.00659793762180272,"TRUE"
"9",801,1021,284,0.738248847926267,0.782375478927203,1,1,0.0441266310009357,"TRUE"
"10",1070,1040,302,0.779883381924198,0.774962742175857,0,0,-0.00492063974834134,"TRUE"
"11",910,1169,291,0.757701915070774,0.800684931506849,1,1,0.0429830164360749,"TRUE"
"12",1038,961,293,0.779864763335838,0.766347687400319,0,0,-0.0135170759355188,"TRUE"
"13",1014,1006,285,0.780600461893764,0.779240898528273,0,0,-0.00135956336549181,"TRUE"
"14",952,1044,296,0.762820512820513,0.77910447761194,1,1,0.0162839647914276,"TRUE"
"15",1039,1218,322,0.763409257898604,0.790909090909091,1,1,0.027499833010487,"TRUE"
"16",991,964,285,0.776645768025078,0.771817453963171,0,0,-0.00482831406190776,"TRUE"
"17",1093,1073,303,0.782951289398281,0.779796511627907,0,0,-0.00315477777037387,"TRUE"
"18",1004,1122,306,0.766412213740458,0.785714285714286,1,1,0.0193020719738277,"TRUE"
"19",989,1182,308,0.762528912875867,0.793288590604027,1,1,0.0307596777281595,"TRUE"
"20",930,1018,280,0.768595041322314,0.784283513097072,1,1,0.0156884717747584,"TRUE"
"21",998,1068,283,0.779078844652615,0.790525536639526,1,1,0.0114466919869112,"TRUE"
"22",885,1106,283,0.757705479452055,0.79625629949604,1,1,0.0385508200439855,"TRUE"
"23",885,1043,296,0.749364944961897,0.778939507094847,1,1,0.0295745621329503,"TRUE"
"24",939,976,294,0.761557177615572,0.768503937007874,1,1,0.00694675939230227,"TRUE"
"25",888,1112,295,0.750633981403212,0.790334044065387,1,1,0.0397000626621752,"TRUE"
"26",807,1079,245,0.767110266159696,0.814954682779456,1,1,0.0478444166197604,"TRUE"
"27",919,955,282,0.765195670274771,0.772029102667744,1,1,0.00683343239297352,"TRUE"
"28",973,1047,292,0.769169960474308,0.781926811053025,1,1,0.0127568505787163,"TRUE"
"29",998,982,293,0.773044151820294,0.770196078431372,0,0,-0.0028480733889219,"TRUE"
"30",1011,1193,313,0.763595166163142,0.792164674634794,1,1,0.0285695084716521,"TRUE"
"31",993,1157,296,0.770364623739333,0.796283551273228,1,1,0.025918927533895,"TRUE"
"32",1036,892,276,0.789634146341463,0.763698630136986,0,0,-0.0259355162044771,"TRUE"
"33",959,1025,290,0.767814251401121,0.779467680608365,1,1,0.0116534292072441,"TRUE"
"34",1007,1107,292,0.775211701308699,0.791279485346676,1,1,0.0160677840379773,"TRUE"
"35",894,984,270,0.768041237113402,0.784688995215311,1,1,0.0166477581019089,"TRUE"
"36",984,989,289,0.772977219167321,0.773865414710485,1,1,0.000888195543163772,"TRUE"
"37",881,983,286,0.754927163667524,0.774625689519307,1,1,0.019698525851783,"TRUE"
"38",910,1075,297,0.753935376967689,0.783527696793003,1,1,0.0295923198253144,"TRUE"
"39",990,936,284,0.777080062794348,0.767213114754098,0,0,-0.00986694804025012,"TRUE"
"40",920,1126,309,0.748576078112286,0.784668989547038,1,1,0.0360929114347519,"TRUE"
"41",960,939,266,0.783034257748777,0.779253112033195,0,0,-0.00378114571558152,"TRUE"
"42",934,1137,287,0.764946764946765,0.798455056179775,1,1,0.0335082912330104,"TRUE"
"43",949,1153,308,0.75497215592681,0.789185489390828,1,1,0.0342133334640183,"TRUE"
"44",969,891,234,0.805486284289277,0.792,0,0,-0.0134862842892768,"TRUE"
"45",1021,1084,300,0.772899318697956,0.783236994219653,1,1,0.0103376755216971,"TRUE"
"46",1109,1043,306,0.783745583038869,0.773165307635285,0,0,-0.0105802754035839,"TRUE"
"47",923,1259,277,0.769166666666667,0.819661458333333,1,1,0.0504947916666667,"TRUE"
"48",812,1130,300,0.73021582733813,0.79020979020979,1,1,0.0599939628716607,"TRUE"
"49",1021,812,280,0.7847809377402,0.743589743589744,0,0,-0.0411911941504562,"TRUE"
"50",1065,1059,293,0.784241531664212,0.783284023668639,0,0,-0.000957507995573037,"TRUE"
"51",962,1158,299,0.762886597938144,0.794783802333562,1,1,0.0318972043954179,"TRUE"
"52",1217,942,311,0.796465968586387,0.751795690343176,0,0,-0.044670278243211,"TRUE"
"53",1000,1115,292,0.773993808049536,0.792466240227434,1,1,0.0184724321778986,"TRUE"
"54",947,1067,288,0.766801619433198,0.787453874538745,1,1,0.020652255105547,"TRUE"
"55",963,1147,291,0.767942583732057,0.797635605006954,1,1,0.0296930212748967,"TRUE"
"56",979,1034,279,0.778219395866455,0.787509520182788,1,1,0.0092901243163328,"TRUE"
"57",978,1093,313,0.757552285050349,0.777382645803698,1,1,0.0198303607533499,"TRUE"
"58",787,1159,273,0.742452830188679,0.809357541899441,1,1,0.0669047117107621,"TRUE"
"59",1149,1128,318,0.783231083844581,0.780082987551867,0,0,-0.00314809629271351,"TRUE"
