"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp","diff_p_priv_SpainNorth","S_Gtest_p"
"1",810,1062,171,0.825688073394495,0.861313868613139,1,1,0.0356257952186432,"TRUE"
"2",877,1068,165,0.841650671785029,0.866180048661801,1,1,0.0245293768767717,"TRUE"
"3",789,1078,155,0.835805084745763,0.874290348742903,1,1,0.0384852639971407,"TRUE"
"4",718,1063,170,0.808558558558559,0.862124898621249,1,1,0.0535663400626905,"TRUE"
"5",846,1069,164,0.837623762376238,0.866991078669911,1,1,0.0293673162936732,"TRUE"
"6",826,1056,177,0.823529411764706,0.856447688564477,1,1,0.032918276799771,"TRUE"
"7",867,1063,170,0.836065573770492,0.862124898621249,1,1,0.0260593248507571,"TRUE"
"8",930,1067,166,0.848540145985402,0.86536901865369,1,1,0.0168288726682887,"TRUE"
"9",800,1062,171,0.82389289392379,0.861313868613139,1,1,0.0374209746893487,"TRUE"
"10",744,1079,154,0.828507795100223,0.875101378751014,1,1,0.046593583650791,"TRUE"
"11",799,1062,171,0.823711340206186,0.861313868613139,1,1,0.0376025284069531,"TRUE"
"12",826,1054,179,0.821890547263682,0.854825628548256,1,1,0.0329350812845747,"TRUE"
"13",842,1063,170,0.83201581027668,0.862124898621249,1,1,0.0301090883445692,"TRUE"
"14",876,1061,172,0.83587786259542,0.860502838605028,1,1,0.0246249760096086,"TRUE"
"15",926,1065,168,0.846435100548446,0.86374695863747,1,1,0.0173118580890236,"TRUE"
"16",834,1091,142,0.854508196721312,0.884833738848337,1,1,0.0303255421270259,"TRUE"
"17",883,1057,176,0.833805476864967,0.857258718572587,1,1,0.0234532417076202,"TRUE"
"18",831,1067,166,0.833500501504513,0.86536901865369,1,1,0.0318685171491767,"TRUE"
"19",907,1066,167,0.844506517690875,0.86455798864558,1,1,0.0200514709547046,"TRUE"
"20",823,1058,175,0.824649298597194,0.858069748580698,1,1,0.0334204499835031,"TRUE"
"21",791,1055,178,0.816305469556244,0.855636658556367,1,1,0.0393311890001231,"TRUE"
"22",844,1054,179,0.825024437927664,0.854825628548256,1,1,0.0298011906205925,"TRUE"
"23",797,1086,147,0.844279661016949,0.880778588807786,1,1,0.0364989277908367,"TRUE"
"24",883,1059,174,0.835383159886471,0.858880778588808,1,1,0.0234976187023366,"TRUE"
"25",909,1046,187,0.829379562043796,0.848337388483374,1,1,0.0189578264395783,"TRUE"
"26",832,1079,154,0.843813387423935,0.875101378751014,1,1,0.0312879913270787,"TRUE"
"27",981,1060,173,0.850086655112652,0.859691808596918,1,1,0.00960515348426638,"TRUE"
"28",871,1063,170,0.836695485110471,0.862124898621249,1,1,0.0254294135107783,"TRUE"
"29",905,1064,169,0.842644320297952,0.862935928629359,1,1,0.0202916083314078,"TRUE"
"30",822,1071,162,0.835365853658537,0.868613138686131,1,1,0.0332472850275949,"TRUE"
"31",837,1074,159,0.840361445783133,0.871046228710462,1,1,0.0306847829273298,"TRUE"
"32",811,1072,161,0.834362139917695,0.869424168694242,1,1,0.0350620287765462,"TRUE"
"33",908,1064,169,0.843082636954503,0.862935928629359,1,1,0.0198532916748561,"TRUE"
"34",743,1061,172,0.812021857923497,0.860502838605028,1,1,0.0484809806815312,"TRUE"
"35",775,1068,165,0.824468085106383,0.866180048661801,1,1,0.0417119635554175,"TRUE"
"36",782,1064,169,0.822292323869611,0.862935928629359,1,1,0.0406436047597484,"TRUE"
"37",804,1058,175,0.821246169560776,0.858069748580698,1,1,0.0368235790199212,"TRUE"
"38",856,1066,167,0.836754643206256,0.86455798864558,1,1,0.0278033454393237,"TRUE"
"39",847,1063,170,0.832841691248771,0.862124898621249,1,1,0.029283207372478,"TRUE"
"40",787,1086,147,0.842612419700214,0.880778588807786,1,1,0.0381661691075718,"TRUE"
"41",892,1059,174,0.836772983114446,0.858880778588808,1,1,0.0221077954743613,"TRUE"
"42",927,1058,175,0.841197822141561,0.858069748580698,1,1,0.0168719264391367,"TRUE"
"43",829,1071,162,0.836528758829465,0.868613138686131,1,1,0.0320843798566662,"TRUE"
"44",925,1068,165,0.848623853211009,0.866180048661801,1,1,0.0175561954507913,"TRUE"
"45",771,1063,170,0.819341126461211,0.862124898621249,1,1,0.0427837721600375,"TRUE"
"46",814,1062,171,0.826395939086294,0.861313868613139,1,1,0.0349179295268442,"TRUE"
"47",923,1047,186,0.832281334535618,0.849148418491484,1,1,0.0168670839558664,"TRUE"
"48",822,1074,159,0.837920489296636,0.871046228710462,1,1,0.0331257394138262,"TRUE"
"49",851,1055,178,0.827016520894072,0.855636658556367,1,1,0.0286201376622947,"TRUE"
"50",733,1066,167,0.814444444444444,0.86455798864558,1,1,0.0501135442011355,"TRUE"
"51",914,1062,171,0.842396313364055,0.861313868613139,1,1,0.0189175552490833,"TRUE"
"52",847,1076,157,0.843625498007968,0.872668288726683,1,1,0.0290427907187147,"TRUE"
"53",860,1077,156,0.846456692913386,0.873479318734793,1,1,0.0270226258214074,"TRUE"
"54",854,1065,168,0.835616438356164,0.86374695863747,1,1,0.0281305202813052,"TRUE"
"55",832,1068,165,0.834503510531595,0.866180048661801,1,1,0.0316765381302058,"TRUE"
"56",772,1069,164,0.824786324786325,0.866991078669911,1,1,0.042204753883586,"TRUE"
"57",772,1072,161,0.827438370846731,0.869424168694242,1,1,0.0419857978475107,"TRUE"
"58",885,1071,162,0.845272206303725,0.868613138686131,1,1,0.0233409323824065,"TRUE"
