ID
Lsa_00000885
Lsa_00004286
Lsa_00005839
Lsa_00006231
Lsa_00012399
Lsa_00014176
Lsa_00014813
Lsa_00015408
Lsa_00021287
Lsa_00021345
Lsa_00025155
Lsa_00028176
Lsa_00032450
Lsa_00033754
Lsa_00035649
Lsa_00035674
Lsa_00037480
Lsa_00039211
Lsa_00039796
Lsa_00040601
Lsa_00043868
Lsa_00048035
